Record Length,Analog:2000
Sample Interval,1.000000E-09
Vertical Units,V,
Vertical Scale,+2.000000E+01
Vertical Offset,+4.000000E+01
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH1
Second,Value
-1.0000000000E-06,+6.333336E+00
-9.9900000000E-07,+1.791669E+00
-9.9800000000E-07,+4.166875E-02
-9.9700000000E-07,-1.083331E+00
-9.9600000000E-07,-1.499998E+00
-9.9500000000E-07,-8.749980E-01
-9.9400000000E-07,-7.083313E-01
-9.9300000000E-07,-5.416646E-01
-9.9200000000E-07,-7.083313E-01
-9.9100000000E-07,-9.583313E-01
-9.9000000000E-07,-1.041665E+00
-9.8900000000E-07,-9.166646E-01
-9.8800000000E-07,-6.666646E-01
-9.8700000000E-07,-6.249980E-01
-9.8600000000E-07,-4.166646E-01
-9.8500000000E-07,-2.916646E-01
-9.8400000000E-07,-3.333313E-01
-9.8300000000E-07,-4.166646E-01
-9.8200000000E-07,-2.499979E-01
-9.8100000000E-07,-2.083313E-01
-9.8000000000E-07,-4.166646E-01
-9.7900000000E-07,-2.916646E-01
-9.7800000000E-07,-4.166646E-01
-9.7700000000E-07,-2.916646E-01
-9.7600000000E-07,-3.333313E-01
-9.7500000000E-07,-2.916646E-01
-9.7400000000E-07,-2.499979E-01
-9.7300000000E-07,-2.499979E-01
-9.7200000000E-07,-3.333313E-01
-9.7100000000E-07,-2.083313E-01
-9.7000000000E-07,-3.749979E-01
-9.6900000000E-07,-1.249979E-01
-9.6800000000E-07,-1.666646E-01
-9.6700000000E-07,-2.916646E-01
-9.6600000000E-07,-4.583313E-01
-9.6500000000E-07,-2.916646E-01
-9.6400000000E-07,-2.499979E-01
-9.6300000000E-07,-4.166458E-02
-9.6200000000E-07,-2.499979E-01
-9.6100000000E-07,-2.499979E-01
-9.6000000000E-07,-2.083313E-01
-9.5900000000E-07,-2.083313E-01
-9.5800000000E-07,-2.499979E-01
-9.5700000000E-07,-2.083313E-01
-9.5600000000E-07,-3.333313E-01
-9.5500000000E-07,-2.083313E-01
-9.5400000000E-07,-2.916646E-01
-9.5300000000E-07,-2.916646E-01
-9.5200000000E-07,-2.499979E-01
-9.5100000000E-07,-2.499979E-01
-9.5000000000E-07,-3.749979E-01
-9.4900000000E-07,-2.916646E-01
-9.4800000000E-07,-3.749979E-01
-9.4700000000E-07,-1.666646E-01
-9.4600000000E-07,-2.499979E-01
-9.4500000000E-07,-1.666646E-01
-9.4400000000E-07,-2.499979E-01
-9.4300000000E-07,-2.916646E-01
-9.4200000000E-07,-4.166646E-01
-9.4100000000E-07,-2.916646E-01
-9.4000000000E-07,-2.499979E-01
-9.3900000000E-07,-2.499979E-01
-9.3800000000E-07,-3.333313E-01
-9.3700000000E-07,-2.499979E-01
-9.3600000000E-07,-2.499979E-01
-9.3500000000E-07,-2.499979E-01
-9.3400000000E-07,-2.499979E-01
-9.3300000000E-07,-2.499979E-01
-9.3200000000E-07,-3.333313E-01
-9.3100000000E-07,-2.083313E-01
-9.3000000000E-07,-3.333313E-01
-9.2900000000E-07,-2.916646E-01
-9.2800000000E-07,-4.999980E-01
-9.2700000000E-07,-2.916646E-01
-9.2600000000E-07,-3.333313E-01
-9.2500000000E-07,-2.499979E-01
-9.2400000000E-07,-1.249979E-01
-9.2300000000E-07,-2.083313E-01
-9.2200000000E-07,-2.083313E-01
-9.2100000000E-07,-2.083313E-01
-9.2000000000E-07,-1.249979E-01
-9.1900000000E-07,-2.499979E-01
-9.1800000000E-07,-2.083313E-01
-9.1700000000E-07,-2.083313E-01
-9.1600000000E-07,-1.249979E-01
-9.1500000000E-07,-1.666646E-01
-9.1400000000E-07,-3.749979E-01
-9.1300000000E-07,-5.416646E-01
-9.1200000000E-07,-2.083313E-01
-9.1100000000E-07,-3.333313E-01
-9.1000000000E-07,-2.083313E-01
-9.0900000000E-07,-1.666646E-01
-9.0800000000E-07,-2.916646E-01
-9.0700000000E-07,-2.916646E-01
-9.0600000000E-07,-2.499979E-01
-9.0500000000E-07,-2.083313E-01
-9.0400000000E-07,-2.916646E-01
-9.0300000000E-07,-4.166646E-01
-9.0200000000E-07,-4.583313E-01
-9.0100000000E-07,-3.749979E-01
-9.0000000000E-07,-2.916646E-01
-8.9900000000E-07,-4.166646E-01
-8.9800000000E-07,-2.916646E-01
-8.9700000000E-07,-4.583313E-01
