Record Length,Analog:2000
Sample Interval,1.000000E-09
Vertical Units,V,
Vertical Scale,+5.000000E-01
Vertical Offset,-1.575000E+00
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH4
Second,Value
-1.0000000000E-06,+1.689583E+00
-9.9900000000E-07,+1.683333E+00
-9.9800000000E-07,+1.675000E+00
-9.9700000000E-07,+1.666667E+00
-9.9600000000E-07,+1.660417E+00
-9.9500000000E-07,+1.655208E+00
-9.9400000000E-07,+1.648958E+00
-9.9300000000E-07,+1.641667E+00
-9.9200000000E-07,+1.636458E+00
-9.9100000000E-07,+1.634375E+00
-9.9000000000E-07,+1.630208E+00
-9.8900000000E-07,+1.621875E+00
-9.8800000000E-07,+1.615625E+00
-9.8700000000E-07,+1.613542E+00
-9.8600000000E-07,+1.607292E+00
-9.8500000000E-07,+1.604167E+00
-9.8400000000E-07,+1.601042E+00
-9.8300000000E-07,+1.594792E+00
-9.8200000000E-07,+1.591667E+00
-9.8100000000E-07,+1.585417E+00
-9.8000000000E-07,+1.586458E+00
-9.7900000000E-07,+1.583333E+00
-9.7800000000E-07,+1.582292E+00
-9.7700000000E-07,+1.578125E+00
-9.7600000000E-07,+1.570833E+00
-9.7500000000E-07,+1.569792E+00
-9.7400000000E-07,+1.579167E+00
-9.7300000000E-07,+1.573958E+00
-9.7200000000E-07,+1.565625E+00
-9.7100000000E-07,+1.566667E+00
-9.7000000000E-07,+1.578125E+00
-9.6900000000E-07,+1.573958E+00
-9.6800000000E-07,+1.558333E+00
-9.6700000000E-07,+1.561458E+00
-9.6600000000E-07,+1.562500E+00
-9.6500000000E-07,+1.564583E+00
-9.6400000000E-07,+1.623958E+00
-9.6300000000E-07,+1.621875E+00
-9.6200000000E-07,+1.521875E+00
-9.6100000000E-07,+1.506250E+00
-9.6000000000E-07,+1.612500E+00
-9.5900000000E-07,+1.619792E+00
-9.5800000000E-07,+1.531250E+00
-9.5700000000E-07,+1.533333E+00
-9.5600000000E-07,+1.597917E+00
-9.5500000000E-07,+1.619792E+00
-9.5400000000E-07,+1.565625E+00
-9.5300000000E-07,+1.522917E+00
-9.5200000000E-07,+1.590625E+00
-9.5100000000E-07,+1.572917E+00
-9.5000000000E-07,+1.587500E+00
-9.4900000000E-07,+1.593750E+00
-9.4800000000E-07,+1.566667E+00
-9.4700000000E-07,+1.590625E+00
-9.4600000000E-07,+1.573958E+00
-9.4500000000E-07,+1.583333E+00
-9.4400000000E-07,+1.590625E+00
-9.4300000000E-07,+1.567708E+00
-9.4200000000E-07,+1.598958E+00
-9.4100000000E-07,+1.597917E+00
-9.4000000000E-07,+1.581250E+00
-9.3900000000E-07,+1.584375E+00
-9.3800000000E-07,+1.587500E+00
-9.3700000000E-07,+1.590625E+00
-9.3600000000E-07,+1.590625E+00
-9.3500000000E-07,+1.581250E+00
-9.3400000000E-07,+1.595833E+00
-9.3300000000E-07,+1.597917E+00
-9.3200000000E-07,+1.597917E+00
-9.3100000000E-07,+1.598958E+00
-9.3000000000E-07,+1.601042E+00
-9.2900000000E-07,+1.594792E+00
-9.2800000000E-07,+1.595833E+00
-9.2700000000E-07,+1.592708E+00
-9.2600000000E-07,+1.595833E+00
-9.2500000000E-07,+1.594792E+00
-9.2400000000E-07,+1.594792E+00
-9.2300000000E-07,+1.595833E+00
-9.2200000000E-07,+1.594792E+00
-9.2100000000E-07,+1.592708E+00
-9.2000000000E-07,+1.592708E+00
-9.1900000000E-07,+1.589583E+00
-9.1800000000E-07,+1.588542E+00
-9.1700000000E-07,+1.587500E+00
-9.1600000000E-07,+1.588542E+00
-9.1500000000E-07,+1.584375E+00
-9.1400000000E-07,+1.584375E+00
-9.1300000000E-07,+1.580208E+00
-9.1200000000E-07,+1.581250E+00
-9.1100000000E-07,+1.577083E+00
-9.1000000000E-07,+1.577083E+00
-9.0900000000E-07,+1.570833E+00
-9.0800000000E-07,+1.567708E+00
-9.0700000000E-07,+1.562500E+00
-9.0600000000E-07,+1.563542E+00
-9.0500000000E-07,+1.558333E+00
-9.0400000000E-07,+1.552083E+00
-9.0300000000E-07,+1.548958E+00
-9.0200000000E-07,+1.545833E+00
-9.0100000000E-07,+1.542708E+00
-9.0000000000E-07,+1.533333E+00
-8.9900000000E-07,+1.535417E+00
-8.9800000000E-07,+1.534375E+00
-8.9700000000E-07,+1.527083E+00
