Record Length,Analog:1000
Sample Interval,2.000000E-09
Vertical Units,V,
Vertical Scale,+5.000000E-01
Vertical Offset,-1.658333E+00
Horizontal Units,s
Horizontal Scale,+2.000000E-07
Model,SDS1204X HD
Serial Number,SDSEV82X900772
Software Version,6.9.13.1.1.6.7
Source,CH4
Second,Value
-1.0000000000E-06,+1.592708E+00
-9.9800000000E-07,+1.582292E+00
-9.9600000000E-07,+1.589583E+00
-9.9400000000E-07,+1.590625E+00
-9.9200000000E-07,+1.588542E+00
-9.9000000000E-07,+1.591667E+00
-9.8800000000E-07,+1.588542E+00
-9.8600000000E-07,+1.590625E+00
-9.8400000000E-07,+1.579167E+00
-9.8200000000E-07,+1.595833E+00
-9.8000000000E-07,+1.592708E+00
-9.7800000000E-07,+1.591667E+00
-9.7600000000E-07,+1.580208E+00
-9.7400000000E-07,+1.585417E+00
-9.7200000000E-07,+1.583333E+00
-9.7000000000E-07,+1.581250E+00
-9.6800000000E-07,+1.575000E+00
-9.6600000000E-07,+1.566667E+00
-9.6400000000E-07,+1.563542E+00
-9.6200000000E-07,+1.557292E+00
-9.6000000000E-07,+1.553125E+00
-9.5800000000E-07,+1.547917E+00
-9.5600000000E-07,+1.536458E+00
-9.5400000000E-07,+1.530208E+00
-9.5200000000E-07,+1.518750E+00
-9.5000000000E-07,+1.509375E+00
-9.4800000000E-07,+1.502083E+00
-9.4600000000E-07,+1.490625E+00
-9.4400000000E-07,+1.480208E+00
-9.4200000000E-07,+1.467708E+00
-9.4000000000E-07,+1.457292E+00
-9.3800000000E-07,+1.444792E+00
-9.3600000000E-07,+1.431250E+00
-9.3400000000E-07,+1.416667E+00
-9.3200000000E-07,+1.402083E+00
-9.3000000000E-07,+1.385417E+00
-9.2800000000E-07,+1.371875E+00
-9.2600000000E-07,+1.357292E+00
-9.2400000000E-07,+1.337500E+00
-9.2200000000E-07,+1.323958E+00
-9.2000000000E-07,+1.307292E+00
-9.1800000000E-07,+1.288542E+00
-9.1600000000E-07,+1.270833E+00
-9.1400000000E-07,+1.254167E+00
-9.1200000000E-07,+1.231250E+00
-9.1000000000E-07,+1.210417E+00
-9.0800000000E-07,+1.201042E+00
-9.0600000000E-07,+1.179167E+00
-9.0400000000E-07,+1.155208E+00
-9.0200000000E-07,+1.135417E+00
-9.0000000000E-07,+1.102083E+00
-8.9800000000E-07,+1.079167E+00
-8.9600000000E-07,+1.103125E+00
-8.9400000000E-07,+9.968750E-01
-8.9200000000E-07,+1.067708E+00
-8.9000000000E-07,+9.906250E-01
-8.8800000000E-07,+9.760417E-01
-8.8600000000E-07,+9.500000E-01
-8.8400000000E-07,+9.250000E-01
-8.8200000000E-07,+9.177083E-01
-8.8000000000E-07,+8.791667E-01
-8.7800000000E-07,+8.666667E-01
-8.7600000000E-07,+8.343750E-01
-8.7400000000E-07,+8.239584E-01
-8.7200000000E-07,+7.968751E-01
-8.7000000000E-07,+7.708334E-01
-8.6800000000E-07,+7.562500E-01
-8.6600000000E-07,+7.166667E-01
-8.6400000000E-07,+7.093751E-01
-8.6200000000E-07,+6.791667E-01
-8.6000000000E-07,+6.697917E-01
-8.5800000000E-07,+6.375000E-01
-8.5600000000E-07,+6.322917E-01
-8.5400000000E-07,+6.072917E-01
-8.5200000000E-07,+5.968750E-01
-8.5000000000E-07,+5.854167E-01
-8.4800000000E-07,+5.760417E-01
-8.4600000000E-07,+5.635417E-01
-8.4400000000E-07,+5.541667E-01
-8.4200000000E-07,+5.489584E-01
-8.4000000000E-07,+5.489584E-01
-8.3800000000E-07,+5.479167E-01
-8.3600000000E-07,+5.468751E-01
-8.3400000000E-07,+5.531250E-01
-8.3200000000E-07,+5.552084E-01
-8.3000000000E-07,+5.645834E-01
-8.2800000000E-07,+5.718750E-01
-8.2600000000E-07,+5.833334E-01
-8.2400000000E-07,+5.968750E-01
-8.2200000000E-07,+6.104167E-01
-8.2000000000E-07,+6.229167E-01
-8.1800000000E-07,+6.395834E-01
-8.1600000000E-07,+6.583334E-01
-8.1400000000E-07,+6.718750E-01
-8.1200000000E-07,+6.885417E-01
-8.1000000000E-07,+7.125001E-01
-8.0800000000E-07,+7.302084E-01
-8.0600000000E-07,+7.510417E-01
-8.0400000000E-07,+7.760417E-01
-8.0200000000E-07,+7.979167E-01
-8.0000000000E-07,+8.239584E-01
-7.9800000000E-07,+8.458334E-01
-7.9600000000E-07,+8.708334E-01
-7.9400000000E-07,+9.010417E-01
-7.9200000000E-07,+9.281250E-01
-7.9000000000E-07,+9.541667E-01
-7.8800000000E-07,+9.802084E-01
-7.8600000000E-07,+1.010417E+00
-7.8400000000E-07,+1.040625E+00
-7.8200000000E-07,+1.067708E+00
-7.8000000000E-07,+1.100000E+00
-7.7800000000E-07,+1.136458E+00
-7.7600000000E-07,+1.166667E+00
-7.7400000000E-07,+1.197917E+00
-7.7200000000E-07,+1.234375E+00
-7.7000000000E-07,+1.268750E+00
-7.6800000000E-07,+1.292708E+00
-7.6600000000E-07,+1.355208E+00
-7.6400000000E-07,+1.446875E+00
-7.6200000000E-07,+1.360417E+00
-7.6000000000E-07,+1.417708E+00
-7.5800000000E-07,+1.522917E+00
-7.5600000000E-07,+1.538542E+00
-7.5400000000E-07,+1.577083E+00
-7.5200000000E-07,+1.590625E+00
-7.5000000000E-07,+1.645833E+00
-7.4800000000E-07,+1.669792E+00
-7.4600000000E-07,+1.714583E+00
-7.4400000000E-07,+1.763542E+00
-7.4200000000E-07,+1.791667E+00
-7.4000000000E-07,+1.822917E+00
-7.3800000000E-07,+1.858333E+00
-7.3600000000E-07,+1.901042E+00
-7.3400000000E-07,+1.934375E+00
-7.3200000000E-07,+1.972917E+00
-7.3000000000E-07,+2.005208E+00
-7.2800000000E-07,+2.047917E+00
-7.2600000000E-07,+2.082292E+00
-7.2400000000E-07,+2.115625E+00
-7.2200000000E-07,+2.152083E+00
-7.2000000000E-07,+2.191667E+00
-7.1800000000E-07,+2.231250E+00
-7.1600000000E-07,+2.262500E+00
-7.1400000000E-07,+2.293750E+00
-7.1200000000E-07,+2.322917E+00
-7.1000000000E-07,+2.359375E+00
-7.0800000000E-07,+2.390625E+00
-7.0600000000E-07,+2.420833E+00
-7.0400000000E-07,+2.455209E+00
-7.0200000000E-07,+2.490625E+00
-7.0000000000E-07,+2.525000E+00
-6.9800000000E-07,+2.551042E+00
-6.9600000000E-07,+2.580209E+00
-6.9400000000E-07,+2.609375E+00
